,Unnamed: 0,source_1,source_2,lon_1,lat_1,lon_2,lat_2,h_1,sigma_h1,h_2,sigma_h2,dh,sigma_dh,time_1,time_2,dt,dh_dx_1,dh_dx_2,dh_dy_1,dh_dy_2,distance_x,distance_y,window_1,window_2,rgt,spot_n,h1_arcticdem,h2_arcticdem,dh_arcticdem,distance,dem_slope,dh_minus_dem
36454,36454,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.291679,69.06385049,-151.2916706,69.06385007,204.4608154,0.026315644,204.558075,0.067456022,0.097259521,0.072407376,2019.468732,2019.717552,0.248820112,-0.026150636,-0.022871852,-0.00322224,-0.004536618,-0.053217207,-0.334133932,3,3,1280,3,204.5313807,204.5314769,9.61E-05,0.33834532,0.000284059,0.097163411
36455,36455,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2917409,69.06367242,-151.2917308,69.06367193,204.1451874,0.017618563,204.2183685,0.035749558,0.073181152,0.039855297,2019.468732,2019.717552,0.248820112,0.016263634,-0.010329306,-0.007210763,-0.010483755,-0.061655034,-0.399411757,3,3,1280,3,204.4746618,204.4723965,-0.00226527,0.404142419,-0.005605128,0.075446422
36456,36456,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2918025,69.06349436,-151.291791,69.0634938,204.6711731,0.038972121,204.7157745,0.083500095,0.04460144,0.092147122,2019.468732,2019.717552,0.248820112,0.029602706,0.039282799,0.000657459,4.57E-06,-0.070402628,-0.458067167,3,3,1280,3,204.5648349,204.5610099,-0.003825041,0.463445854,-0.00825348,0.048426481
36457,36457,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2918639,69.0633163,-151.291851,69.06331569,204.6548004,0.019671232,204.9320221,0.055349506,0.27722168,0.058741171,2019.468732,2019.717552,0.248820112,-0.022686303,-0.026281506,-0.00451459,-0.001895163,-0.077727502,-0.51276855,3,3,1280,3,204.6390651,204.640319,0.001253947,0.518626215,0.002417824,0.275967733
36458,36458,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2919249,69.0631382,-151.2919109,69.06313754,204.4803162,0.01696899,204.4818115,0.037128285,0.001495361,0.04082225,2019.468732,2019.717552,0.248820112,0.011463791,-0.002753019,-0.008029432,-0.008666877,-0.08290784,-0.555128715,3,3,1280,3,204.4184521,204.4075068,-0.010945361,0.561285667,-0.019500518,0.012440722
36459,36459,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2919855,69.06296009,-151.2919708,69.0629594,204.6273041,0.059757434,204.510498,0.074006394,-0.11680603,0.095120435,2019.468732,2019.717552,0.248820112,-0.012440681,0.001186609,-0.003043721,-0.005704563,-0.087810936,-0.586521846,3,3,1280,3,204.2878955,204.2821172,-0.005778306,0.593058712,-0.009743228,-0.111027724
36460,36460,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2920459,69.06278199,-151.2920306,69.06278128,204.3962097,0.012826036,204.5322418,0.022936573,0.136032104,0.026279147,2019.468732,2019.717552,0.248820112,-0.003713042,-0.007634133,-0.006250953,-0.00653321,-0.09046423,-0.607508238,3,3,1280,3,204.0782528,204.0765915,-0.001661334,0.614206835,-0.002704845,0.137693438
36461,36461,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2921056,69.06260383,-151.2920904,69.06260312,204.3886261,0.010794337,204.4421539,0.015120749,0.053527832,0.018578341,2019.468732,2019.717552,0.248820112,0.003106885,0.00104171,-0.011183969,-0.012053451,-0.090474037,-0.603271438,3,3,1280,3,204.2803353,204.2771459,-0.003189376,0.610018016,-0.005228331,0.056717208
36462,36462,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2921651,69.06242568,-151.2921503,69.06242498,204.3932495,0.022706188,204.4398804,0.024370259,0.046630859,0.033308865,2019.468732,2019.717552,0.248820112,-0.000803292,-0.002804548,-0.008548131,-0.009956094,-0.088231193,-0.588259893,3,3,1280,3,204.1584159,204.1591995,0.000783626,0.594839848,0.001317373,0.045847233
36463,36463,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2922243,69.06224753,-151.2922101,69.06224686,204.4491119,0.061144575,204.3836365,0.034987386,-0.065475464,0.070446975,2019.468732,2019.717552,0.248820112,-0.003488243,-0.002824068,-0.00470256,-0.008887324,-0.085121759,-0.566601891,3,3,1280,3,204.1663867,204.1651543,-0.001232421,0.572960223,-0.002150971,-0.064243043
