lon,lat,dh,sigma_dh,h1_interp,h2_interp,time_1,time_2,dt(decimal year),dt (days),sigma_h1,sigma_h2,dh_dx_1,dh_dx_2,n_photons_1,n_photons_2
-148.9943087,69.19417429,0.383824443,0.010552575,428.448036,428.8318604,2018.789166,2020.181865,1.392699235,508.3352209,0.005356707,0.009091894,0.008603307,-0.013534414,93,19.5
-148.9954781,69.19762911,0.124863966,0.045187635,443.3687907,443.4936547,2018.789166,2020.181865,1.392699243,508.3352237,0.040399942,0.020242703,0.032617805,-0.025031896,98.5,60.5
-148.7848133,68.56772275,0.16092591,0.032802092,893.7311891,893.892115,2018.789165,2020.260941,1.471775555,537.1980777,0.029127767,0.015084775,0.010455263,-0.045819007,276,458.5
-148.8651976,68.81157317,0.476723015,0.02420265,451.4764984,451.9532214,2018.789165,2020.260941,1.471775313,537.1979894,0.023485543,0.005847868,-0.014601367,0.00884002,62.5,470.5
-149.0828742,69.45037341,0.316265982,0.02491055,191.4537509,191.7700168,2018.789166,2020.350929,1.561763563,570.0437006,0.019837605,0.015066683,-0.007387739,-0.000236227,113.5,109
-149.0839934,69.45359853,0.217165936,0.014941273,191.4766601,191.693826,2018.789166,2020.350929,1.561763571,570.0437034,0.014636514,0.00300235,0.003858909,-0.002690501,79.5,342
-148.9136072,68.9563261,-0.405938919,0.08561612,446.977916,446.5719771,2018.789166,2020.430005,1.640839685,598.9064852,0.07370255,0.043566663,0.033876805,-0.003962494,27,18.5
-149.0827196,69.44993117,-0.203696159,0.013678738,191.6571196,191.4534234,2018.789166,2020.599069,1.809903637,660.6148277,0.009062247,0.010246148,0.004467074,-0.016110829,97,80
-149.0828039,69.4501715,0.334670194,0.04810269,191.6234507,191.9581209,2018.789166,2020.84721,2.058043817,751.1859933,0.021632292,0.042964087,-0.006783842,-0.001313165,110.5,50
-148.9982822,69.44106828,0.146308638,0.027062523,209.1018854,209.248194,2018.789166,2018.858971,0.06980542,25.4789782,0.013238125,0.023603648,-0.007866269,0.024205873,51,101.5
-148.9992455,69.44384416,0.139542507,0.015567676,211.9956332,212.1351757,2018.789166,2018.858971,0.069805428,25.4789812,0.013876678,0.007056227,0.001210216,0.005889573,56,454
-149.0397161,69.56065989,0.075302842,0.056466769,130.6685959,130.7438987,2018.789166,2018.858971,0.069805301,25.47893487,0.056465131,0.000430093,-0.009439942,0.007147546,11.5,104
-148.7876007,68.81562821,0.345561472,0.011279006,440.1854409,440.5310023,2018.789165,2019.017556,0.228390352,83.36247834,0.00609855,0.00948808,0.000634253,-0.000487295,30,224
-148.7885524,68.81853881,0.472596813,0.044194057,438.7958991,439.2684959,2018.789165,2019.017556,0.22839036,83.36248128,0.042187415,0.013165736,0.015627502,-0.000995473,21,48
-148.8550615,69.01915706,0.362274073,0.063108498,424.0246264,424.3869005,2018.789166,2019.187084,0.397918044,145.2400862,0.062992279,0.003828231,-0.023347577,0.011296219,29.5,172
-148.8561747,69.02248562,0.417086615,0.032301181,416.8963038,417.3133904,2018.789166,2019.187084,0.397918052,145.240089,0.027292594,0.017276591,-0.022824064,0.021491753,19.5,50.5
-148.9541893,69.31260067,0.329556952,0.0157306,276.5965023,276.9260593,2018.789166,2019.435903,0.646737366,236.0591385,0.010106399,0.012054563,-0.007555058,0.025357517,41.5,66
-148.9553585,69.31602245,0.018225559,0.056542566,268.5305624,268.5487879,2018.789166,2019.435903,0.646737373,236.0591412,0.004720683,0.056345159,-0.040161352,0.042006575,62.5,21
-149.0005126,69.447519,0.189419718,0.035356881,209.3362731,209.5256928,2018.789166,2019.854251,1.065085087,388.7560567,0.030842721,0.017286862,0.004041857,0.002359552,33,109.5
-148.7851739,68.80825402,0.382939529,0.033076704,445.1076122,445.4905518,2018.789165,2020.012801,1.223635207,446.6268506,0.03282655,0.004060293,-0.027670422,0.021943929,44,397.5
-149.0005667,69.44767502,0.378203177,0.02112147,209.3919591,209.7701623,2018.789166,2020.102789,1.313623317,479.4725107,0.015942822,0.013854346,0.000897314,0.003066316,38.5,109
-148.7841676,68.80517015,0.24599499,0.035475141,466.7660839,467.0120789,2018.789165,2020.260941,1.471775321,537.1979921,0.027528105,0.022376083,0.032731873,-0.041429232,73,78.5
-148.785272,68.80855065,0.401083542,0.029374442,444.7091446,445.1102282,2018.789165,2020.260941,1.471775328,537.1979949,0.028986409,0.004758776,-0.013625021,0.010492716,45,283
-149.0005337,69.44757969,0.382018215,0.015239879,209.3648454,209.7468637,2018.789166,2020.350929,1.561763578,570.0437059,0.014964556,0.002883744,0.00208196,-0.002760065,38.5,113.5
-149.0016424,69.45079277,0.314036282,0.02719342,203.2709115,203.5849478,2018.789166,2020.350929,1.561763586,570.0437088,0.026108867,0.007603233,-0.041324484,0.042864091,36,447
